integer1,string1,float1,boolean1
1,Andras,7.78,true
2,Rey,,false
3,Natividad,,
4,,4.19,false
5,Caryn,,false
6,Jae,,true
7,Ebeneser,,true
8,Evvie,,false
9,,8.09,
10,,3.81,false
,,8.41,true
12,,7.39,
13,Eloisa,9.98,true
14,Maria,4.36,false
15,,,true
16,Gilly,,true
17,,,true
18,Dina,3.24,true
19,Early,,false
20,,,false
21,Paten,5.42,true
22,,,
23,,5.63,true
24,,4.66,true
25,,5.68,true
26,Debby,8.54,true
27,,,true
28,Danna,,false
29,Tore,8.53,
30,,8.94,true
31,,6.21,false
32,Torrance,6.38,false
33,Agathe,6.52,true
34,Rowe,9.88,
35,,8.83,true
36,Tanney,5.23,true
37,Kaja,5.96,true
38,,4.67,true
39,Margot,4.31,true
40,Biddy,2.99,
41,Bobbette,4.13,true
,,1.79,true
,Carita,4.57,false
44,,,true
45,Georgianna,4.29,false
46,,8.83,
47,Rossie,,
48,Sarena,5.0,false
,Teddi,,true
50,Osgood,2.82,
,Mala,1.37,true
52,,1.6,false
53,Misha,7.25,true
54,Leeann,,true
55,Booth,1.03,true
56,Berta,6.25,
57,,4.2,false
58,,7.87,true
59,,,true
60,,3.9,true
61,,3.29,
62,,9.0,true
,Tildy,3.9,true
,,1.66,false
65,,2.46,
66,Maribel,6.0,true
67,,,true
68,Ines,2.44,false
69,Carlie,3.32,true
70,,,true
71,,3.5,true
72,Claire,9.45,true
73,,4.21,false
74,Tore,,
75,,9.92,
76,,,true
77,Corrina,8.0,false
78,Farra,7.36,true
79,,4.69,false
80,,8.51,true
81,Mollee,3.74,true
82,Claudelle,6.63,true
83,,7.42,false
84,,1.24,false
85,,1.62,false
86,Ferd,,false
87,,4.1,false
88,Desiree,6.2,false
89,Nathanil,7.79,false
90,,3.26,false
91,Florance,,false
92,,6.76,
93,Leslie,,true
94,Marlin,7.39,false
95,,1.41,true
96,,6.31,true
97,Curry,5.55,
98,Cecilla,,
,Danielle,2.13,false
100,,,false
